province,fire_id,latitude,longitude,year,size_ha,cause
Ontario,NIP38,52.2889,-88.0988,2015,203.0,Natural
British Columbia,2015-G90263,59.8536,-121.3409,2015,13498.6,Natural
British Columbia,2015-G90258,59.6903,-120.8206,2015,2204.6,Natural
British Columbia,2015-G90267,59.6351,-120.0221,2015,6254.2,Natural
Alberta,MWF052,59.6531,-110.343233,2015,24458.0,Natural
Alberta,HWF200,59.826867,-117.74615,2015,8948.7,Natural
Alberta,HWF201,59.927883,-118.046067,2015,1113.9,Natural
Alberta,HWF202,59.981017,-118.158967,2015,218.0,Natural
Alberta,HWF205,59.7917,-118.5111,2015,3736.6,Natural
Alberta,HWF196,58.792833,-118.159333,2015,793.0,Natural
Alberta,HWF204,59.1426,-115.1524,2015,10175.7,Natural
Alberta,MWF078,57.8403,-112.5289,2015,9000.0,Natural
Alberta,LWF161,55.476183,-112.027267,2015,11363.9,Natural
Yukon,2015OC012,66.083333,-134.183333,2015,400.0,Natural
Yukon,2015OC010,67.011833,-140.32325,2015,350.0,Natural
Yukon,2015OC011,66.854017,-140.375233,2015,5000.0,Natural
Yukon,2015WL014,60.589133,-125.760217,2015,7312.0,Natural
Northwest Territories,SS034-15,60.032833,-107.701666,2015,400.0,Natural
Northwest Territories,SS029-15,61.483166,-119.171,2015,49818.94,Natural
Northwest Territories,SS030-15,61.258,-118.311333,2015,10035.0,Natural
Northwest Territories,SS035-15,60.09,-117.36,2015,7037.04,Natural
Alberta,2015WB19,59.2672,-111.658,2015,14584.7,Natural
Ontario,RED25,50.8764,-94.7504,2015,2189.0,Natural
British Columbia,2015-G90243,59.3553,-121.0831,2015,207.0,Natural
British Columbia,2015-G90255,59.6322,-126.6923,2015,366.4,Natural
British Columbia,2015-G90245,59.6284,-121.4204,2015,4175.6,Natural
British Columbia,2015-G90261,59.7734,-121.0046,2015,1280.4,Natural
British Columbia,2015-G80252,57.9047,-120.153,2015,20000.0,Natural
Alberta,HWF182,59.642667,-118.8409,2015,1914.49,Natural
Saskatchewan,15LF-ADAMS,54.152917,-103.533333,2015,819.469478,Natural
Saskatchewan,15LX-FORCIER,56.08795,-107.627883,2015,178818.1976,Natural
Saskatchewan,15BN-TOM,56.384333,-108.353333,2015,1969.441583,Natural
Yukon,2015DA032,63.241283,-139.388583,2015,1562.0,Natural
Yukon,2015MA034,63.164433,-136.0858,2015,2900.0,Natural
Yukon,2015MA035,63.026333,-135.859833,2015,361.0,Natural
Northwest Territories,VQ010-15,64.790666,-122.028166,2015,522.8,Natural
Northwest Territories,SS028-15,60.786666,-114.426166,2015,10990.6,Natural
Northwest Territories,SS027-15,60.603333,-114.372833,2015,1864.7,Natural
Saskatchewan,15LX-PIPE,57.8678,-106.8269,2015,8956.090751,Natural
Yukon,2015DA031,63.240517,-138.86185,2015,712.0,Natural
Yukon,2015CA012,62.73,-137.637167,2015,2837.0,Natural
Northwest Territories,SS033-15,60.021,-107.686666,2015,4777.2,Natural
Ontario,COC13,50.6353,-79.9005,2015,1120.0,Natural
British Columbia,2015-G60353,58.2017,-125.7766,2015,1626.5,Natural
Yukon,2015CA011,62.564,-134.998333,2015,1200.0,Natural
Yukon,2015CA010,62.04,-134.538333,2015,2000.0,Natural
Northwest Territories,2015WB17,60.1111,-115.1811,2015,1138.7,Natural
Manitoba,NW031,53.491944,-101.705,2015,1200.0,Natural
Alberta,2015WB16,59.0928,-111.5662,2015,1501.3,Natural
Ontario,COC10,52.8085,-85.3509,2015,500.0,Natural
Saskatchewan,15SR-ROAD2,58.797867,-104.91985,2015,798.514967,Natural
Saskatchewan,15LX-FOX,55.637683,-107.642833,2015,1821.520021,Natural
Ontario,NIP23,53.2052,-88.2599,2015,4067.0,Natural
Yukon,2015BC004,62.886883,-140.308,2015,3000.0,Natural
Yukon,2015DA022,63.21465,-140.1188,2015,2848.0,Natural
Ontario,RED16,52.7036,-93.8517,2015,2629.0,Natural
British Columbia,2015-R10112,53.5821,-126.7233,2015,437.0,Natural
Quebec,2015-254,52.1667,-78.3978,2015,1045.0,Human
Alberta,2015WB14,58.9772,-112.1165,2015,26962.8,Natural
Northwest Territories,SS017-15,60.139666,-108.3245,2015,28803.16,Natural
Northwest Territories,SS019-15,61.215166,-105.3895,2015,441.88,Natural
Northwest Territories,SS016-15,60.863666,-110.711833,2015,21185.74,Natural
Ontario,RED17,52.5213,-94.1488,2015,410.0,Natural
British Columbia,2015-K70122,50.1638,-121.5848,2015,2174.0,Human
Saskatchewan,15LX-WOLF,57.871217,-106.847783,2015,3065.8,Natural
Northwest Territories,ZF010-15,62.35,-117.433333,2015,61658.7,Natural
Manitoba,NE062,56.431667,-101.743333,2015,4223.0,Natural
Northwest Territories,EV002-15,68.256333,-135.456333,2015,2801.0,Natural
Alberta,EWF054,53.485417,-119.225817,2015,12052.3,Natural
Saskatchewan,15LF-BAIRD,54.037033,-103.950883,2015,3333.388927,Natural
Manitoba,NE061,56.366667,-93.336389,2015,662.6,Natural
Manitoba,NE060,56.536944,-97.934167,2015,584.6,Natural
Ontario,NIP17,53.5056,-87.8276,2015,15827.0,Natural
Saskatchewan,15BN-BRADY,56.758783,-109.571683,2015,127377.4455,Natural
Saskatchewan,15BN-JAKE,56.765533,-109.737283,2015,853.1,Natural
Saskatchewan,15LA-GREG,57.04255,-103.8854,2015,891.808073,Natural
Saskatchewan,15SR-BORDER,59.98445,-107.63535,2015,2752.45734,Natural
Saskatchewan,15LA-BOB,55.473333,-105.193333,2015,24545.0,Natural
Saskatchewan,15LA-SUCKER,55.3128,-105.359067,2015,2214.58631,Natural
Saskatchewan,15LA-BRIAN,55.839483,-104.884483,2015,29440.20375,Natural
Northwest Territories,SS015-15,60.507,-111.846833,2015,16954.7,Natural
Alberta,2015WB11,59.2491,-113.9967,2015,11336.4,Natural
Ontario,NIP19,53.4354,-88.59,2015,200.0,Natural
Alberta,HWF157,58.241483,-114.629283,2015,6129.0,Natural
Saskatchewan,15LA-BESNARD,55.272583,-105.826017,2015,2072.0,Natural
Saskatchewan,15LA-EGG,55.136517,-105.74405,2015,138847.6901,Natural
Saskatchewan,15LA-CARLSON,57.9112,-104.73515,2015,7274.250447,Natural
Saskatchewan,15SR-HENDAY,58.4255,-104.1204,2015,3941.673276,Natural
Saskatchewan,15LA-BEAR,55.6459,-105.557833,2015,7104.261053,Natural
Saskatchewan,15LA-CLARK,55.422833,-105.637333,2015,24422.0,Natural
Alberta,2015WB9,59.5379,-113.7891,2015,17496.2,Natural
Northwest Territories,2015WB7,60.0575,-112.7821,2015,4495.6,Natural
Ontario,COC6,53.815,-84.2118,2015,2500.0,Natural
Alberta,HWF151,59.271083,-114.25625,2015,8782.5,Natural
Yukon,2015MA025,64.033333,-132.383333,2015,600.0,Natural
Yukon,2015MA023,63.746883,-133.372017,2015,675.0,Natural
Yukon,2015MA024,63.220533,-133.070617,2015,450.0,Natural
Yukon,2015BC003,62.248467,-139.07825,2015,7674.0,Natural
Yukon,2015RR009,63.3754,-131.65455,2015,550.0,Natural
Northwest Territories,2015NA4,61.6933,-127.4938,2015,670.0,Natural
Northwest Territories,2015NA5,61.4207,-125.2389,2015,356.0,Natural
Northwest Territories,2015NA6,60.8562,-125.4411,2015,2882.0,Natural
British Columbia,2015-G90211,58.9878,-124.9953,2015,223.7,Human
Yukon,2015RR006,62.98575,-133.538683,2015,790.0,Natural
Northwest Territories,VQ008-15,63.550833,-125.733666,2015,2736.3,Natural
