province,fire_id,latitude,longitude,year,size_ha,cause,size
Saskatchewan,18LA-BRIAN,56.376967,-102.22115,2018,372.8,Natural,Very small
Manitoba,MB2018NE128,57.97472222,-101.1275,2018,790.0,Natural,Very small
Manitoba,MB2018NE127,58.31638889,-99.755,2018,1440.0,Natural,Very small
Manitoba,MB2018NE131,57.39138889,-96.16888889,2018,1036.0,Natural,Very small
Manitoba,MB2018NE126,57.90555556,-99.44305556,2018,2669.2,Natural,Very small
Manitoba,MB2018NE177,56.15222222,-90.72444444,2018,526.0,Natural,Very small
Northwest Territories,2018WB10,60.0381,-113.92,2018,3461.9,Natural,Very small
Manitoba,MB2018NW025,55.36222222,-101.1183333,2018,285.0,Natural,Very small
Quebec,20181080408,50.4564,-79.0594,2018,5608.9,Natural,Very small
Quebec,20181080424,52.0333,-77.0264,2018,1675.0,Natural,Very small
Yukon,2018WL006,60.73246667,-130.2659167,2018,6462.0,Natural,Very small
Ontario,NOR72,47.3711,-80.4615,2018,27285.69922,Natural,Small
Ontario,NIP31,51.5554,-88.4201,2018,638.2000122,Natural,Very small
Ontario,SLK56,52.3592,-91.7261,2018,291.1000061,Natural,Very small
Manitoba,MB2018NE122,57.43138889,-99.95861111,2018,1227.5,Natural,Very small
Manitoba,MB2018NE119,57.61805556,-100.8336111,2018,1039.8,Natural,Very small
Manitoba,MB2018NE120,57.63277778,-100.6938889,2018,256.8,Natural,Very small
Manitoba,MB2018NE123,57.07972222,-100.4980556,2018,1009.4,Natural,Very small
Quebec,20181080406,51.5586,-79.4233,2018,1184.8,Natural,Very small
Ontario,SLK51,52.3612,-91.256,2018,281.6000061,Natural,Very small
Ontario,SLK55,52.357,-91.5367,2018,287.3999939,Natural,Very small
Ontario,SLK53,52.8725,-89.0437,2018,411.3999939,Natural,Very small
Ontario,SLK57,52.7569,-89.0235,2018,9689.299805,Natural,Very small
Ontario,NIP32,53.1853,-87.7702,2018,2284.899902,Natural,Very small
Alberta,HWF165,59.925967,-119.940917,2018,2083.4,Natural,Very small
Manitoba,MB2018NE116,57.28666667,-98.50583333,2018,1482.0,Natural,Very small
Yukon,2018WL005,60.33698334,-129.4194,2018,27481.0,Natural,Small
Ontario,SLK48,52.3492,-90.327,2018,4576.0,Natural,Very small
Ontario,NOR69,47.0247,-79.8479,2018,221.0,Natural,Very small
Ontario,NOR68,46.8671,-79.3987,2018,396.1000061,Natural,Very small
British Columbia,2018-V91119,51.8303,-125.8644,2018,12313.0,Natural,Very small
Quebec,20181080368,49.034,-76.4836,2018,9754.2,Natural,Very small
Quebec,20181080353,53.5272,-78.0758,2018,539.3,Natural,Very small
Quebec,20181080336,50.7558,-77.7978,2018,252.0,Natural,Very small
Saskatchewan,18DB-HARP,54.826233,-103.051717,2018,1671.0,Natural,Very small
Ontario,NOR46,47.2536,-80.3584,2018,346.6000061,Natural,Very small
Ontario,NIP29,52.7287,-88.3483,2018,4553.5,Natural,Very small
Ontario,NIP30,52.8385,-88.2566,2018,32850.5,Natural,Small
Ontario,NOR42,46.7345,-80.0006,2018,337.0,Natural,Very small
Ontario,NOR62,46.6969,-80.1426,2018,2500.0,Natural,Very small
Ontario,NOR61,47.1749,-80.4543,2018,272.8999939,Natural,Very small
Ontario,NOR19,47.2398,-80.4682,2018,1406.699951,Natural,Very small
Manitoba,MB2018NE105,54.14666667,-96.715,2018,249.0,Natural,Very small
Manitoba,MB2018NE110,53.11666667,-95.34583333,2018,731.0,Natural,Very small
Quebec,20181080277,52.6186,-76.6953,2018,3096.0,Natural,Very small
Quebec,20181080304,51.1331,-77.98,2018,3006.4,Natural,Very small
Quebec,20181080308,51.6069,-77.9611,2018,1234.5,Natural,Very small
Quebec,20181080310,51.5253,-78.1408,2018,1142.5,Natural,Very small
Quebec,20181080291,52.5563,-72.2892,2018,7236.0,Natural,Very small
Quebec,20181080292,52.744,-72.0346,2018,2072.0,Natural,Very small
Quebec,20181080288,52.8478,-76.8794,2018,6184.0,Natural,Very small
Quebec,20181080282,52.7397,-76.4406,2018,514.9,Natural,Very small
Quebec,20181080283,52.5425,-75.655,2018,4664.0,Natural,Very small
Quebec,20181080286,52.5442,-75.9019,2018,896.8,Natural,Very small
Quebec,20181080301,52.9239,-75.5536,2018,4952.3,Natural,Very small
Quebec,20181080273,51.9147,-68.5663,2018,1714.8,Natural,Very small
Quebec,20181080275,52.0675,-68.5511,2018,6559.7,Natural,Very small
Quebec,20181080313,51.8283,-65.2562,2018,400.0,Natural,Very small
